Moving1.Position[deg],I_aa[A],FluxLinkage(A)[Wb]
64.4999999999999,12.7777777777778,0.0288696
65.3999999999999,12.7777777777778,0.0328791
66.3,12.7777777777778,0.0407749
67.2,12.7777777777778,0.0546925
68.1000000000001,12.7777777777778,0.0691196
69.0000000000001,12.7777777777778,0.0814724
69.9000000000002,12.7777777777778,0.091727
70.8000000000003,12.7777777777778,0.100717
71.7000000000003,12.7777777777778,0.107631
72.6000000000004,12.7777777777778,0.113526
73.5000000000005,12.7777777777778,0.117852
74.3999999999999,12.7777777777778,0.120628
75.3,12.7777777777778,0.122058
76.2000000000001,12.7777777777778,0.121791
77.1000000000001,12.7777777777778,0.120407
78.0000000000002,12.7777777777778,0.117445
78.9000000000002,12.7777777777778,0.1135
79.8000000000003,12.7777777777778,0.108479
80.7000000000003,12.7777777777778,0.103527
81.6000000000004,12.7777777777778,0.100203
82.4999999999999,12.7777777777778,0.0991223
-7.50000000000002,25.5555555555556,0.199985
-6.60000000000001,25.5555555555556,0.202304
-5.7,25.5555555555556,0.20885
-4.8,25.5555555555556,0.21887
-3.9,25.5555555555556,0.229005
-3,25.5555555555556,0.236994
-2.1,25.5555555555556,0.242973
-1.2,25.5555555555556,0.245799
-0.300000000000001,25.5555555555556,0.246262
0.600000000000001,25.5555555555556,0.243427
1.5,25.5555555555556,0.237962
2.4,25.5555555555556,0.229079
3.3,25.5555555555556,0.217329
4.2,25.5555555555556,0.203164
5.1,25.5555555555556,0.185006
6.00000000000001,25.5555555555556,0.164329
6.90000000000002,25.5555555555556,0.139387
7.80000000000002,25.5555555555556,0.109771
8.70000000000002,25.5555555555556,0.0822663
9.60000000000002,25.5555555555556,0.0659806
10.5,25.5555555555556,0.0579633
11.4,25.5555555555556,0.0535625
12.3,25.5555555555556,0.050671
13.2,25.5555555555556,0.0489118
14.1,25.5555555555556,0.0479483
15,25.5555555555556,0.0475759
15.9,25.5555555555556,0.0479246
16.8,25.5555555555556,0.0489141
17.7,25.5555555555556,0.0506631
18.6,25.5555555555556,0.0535563
19.5,25.5555555555556,0.0579937
20.4,25.5555555555556,0.0659247
21.3,25.5555555555556,0.0820474
22.2,25.5555555555556,0.110202
23.1,25.5555555555556,0.139372
24,25.5555555555556,0.164509
24.9,25.5555555555556,0.184901
25.8,25.5555555555556,0.203195
26.7,25.5555555555556,0.217146
27.6,25.5555555555556,0.229121
28.5,25.5555555555556,0.237727
29.4,25.5555555555556,0.243404
30.3,25.5555555555556,0.246326
31.2,25.5555555555556,0.245796
32.1,25.5555555555556,0.242929
33,25.5555555555556,0.237062
33.9,25.5555555555556,0.228994
34.8,25.5555555555556,0.218829
35.7,25.5555555555556,0.208849
36.6,25.5555555555556,0.202094
37.5,25.5555555555556,0.199989
38.4,25.5555555555556,0.202761
39.3,25.5555555555556,0.208821
40.2,25.5555555555556,0.218844
41.1,25.5555555555556,0.229002
42,25.5555555555556,0.237057
42.9,25.5555555555556,0.242911
43.8,25.5555555555556,0.245766
44.7,25.5555555555556,0.24626
45.6,25.5555555555556,0.243421
46.5,25.5555555555556,0.237842
47.4,25.5555555555556,0.229239
48.3,25.5555555555556,0.217495
49.2000000000001,25.5555555555556,0.20296
50.1000000000001,25.5555555555556,0.184859
51.0000000000001,25.5555555555556,0.164533
51.9,25.5555555555556,0.139443
52.8,25.5555555555556,0.109917
53.7,25.5555555555556,0.0822039
54.6,25.5555555555556,0.0659445
55.5,25.5555555555556,0.0579738
56.4,25.5555555555556,0.0535674
57.2999999999999,25.5555555555556,0.0506528
58.2,25.5555555555556,0.0489138
59.1000000000001,25.5555555555556,0.0479413
60.0000000000001,25.5555555555556,0.0475759
60.9000000000002,25.5555555555556,0.0479442
61.8000000000003,25.5555555555556,0.048911
62.7000000000003,25.5555555555556,0.0506855
63.6000000000004,25.5555555555556,0.0535548
64.4999999999999,25.5555555555556,0.0579197
65.3999999999999,25.5555555555556,0.0660177
66.3,25.5555555555556,0.08199
67.2,25.5555555555556,0.110137
68.1000000000001,25.5555555555556,0.139271
69.0000000000001,25.5555555555556,0.164232
69.9000000000002,25.5555555555556,0.184972
70.8000000000003,25.5555555555556,0.20315
71.7000000000003,25.5555555555556,0.217134
72.6000000000004,25.5555555555556,0.229056
73.5000000000005,25.5555555555556,0.237808
74.3999999999999,25.5555555555556,0.243428
75.3,25.5555555555556,0.246324
76.2000000000001,25.5555555555556,0.245785
77.1000000000001,25.5555555555556,0.242978
78.0000000000002,25.5555555555556,0.236982
78.9000000000002,25.5555555555556,0.229002
79.8000000000003,25.5555555555556,0.21885
80.7000000000003,25.5555555555556,0.20885
81.6000000000004,25.5555555555556,0.202149
82.4999999999999,25.5555555555556,0.199989
-7.50000000000002,38.3333333333333,0.300663
