"Time [ns]","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='0A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='12.7777777777778A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='25.5555555555556A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='38.3333333333333A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='51.1111111111111A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='63.8888888888889A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='76.6666666666667A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='89.4444444444445A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='102.222222222222A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='115A'"
1920000,21.3,0,21.3,0.0408032851492207,21.3,0.082047427940489,21.3,0.123359673319741,21.3,0.164665808717432,21.3,0.205092507696397,21.3,0.241988603445638,21.3,0.27636708838866,21.3,0.309889307657166,21.3,0.341506362783093
1980000,22.2,0,22.2,0.0547246552137595,22.2,0.110201516368429,22.2,0.165187770430421,22.2,0.213620103185814,22.2,0.254528256052786,22.2,0.290341050542133,22.2,0.323955342377576,22.2,0.35647463192387,22.2,0.387700760705847
2040000,23.1,0,23.1,0.0691700844046388,23.1,0.139371874301637,23.1,0.207692276537822,23.1,0.26036345439543,23.1,0.300892964679986,23.1,0.337121741989174,23.1,0.370494010899513,23.1,0.402056792444694,23.1,0.432629211679347
2100000,24,0,24,0.0816098016444626,24,0.16450859768708,24,0.244884916581353,24,0.305669557841087,24,0.348272571949366,24,0.384546860716756,24,0.417785028972981,24,0.449157739532754,24,0.479575917298753
2160000,24.9,0,24.9,0.0916919531752133,24.9,0.184901178085047,24.9,0.276013968010656,24.9,0.348266871805088,24.9,0.394770820646363,24.9,0.430970775264358,24.9,0.464370247079827,24.9,0.496229197964103,24.9,0.526749651414082
2220000,25.8,0,25.8,0.100739676851282,25.8,0.203194843640831,25.8,0.303951401530988,25.8,0.38663298653172,25.8,0.439096266991852,25.8,0.477546795036949,25.8,0.511808538117357,25.8,0.543664583270056,25.8,0.573707613092289
2280000,26.7,0,26.7,0.107637067646543,26.7,0.217145870413044,26.7,0.325510624279383,26.7,0.419644532532209,26.7,0.482237739885326,26.7,0.523262489931237,26.7,0.557697358436986,26.7,0.58944102200553,26.7,0.619425035374145
2340000,27.6,0,27.6,0.113558446872811,27.6,0.229121266713092,27.6,0.343610411202146,27.6,0.447041365702922,27.6,0.520410789672198,27.6,0.56700321994534,27.6,0.602813098715116,27.6,0.634647962642053,27.6,0.664095016560272
2400000,28.5,0,28.5,0.117811990301179,28.5,0.23772709197841,28.5,0.356535374275416,28.5,0.46796290550837,28.5,0.552651397541804,28.5,0.608031263933293,28.5,0.646002340362817,28.5,0.677487151072023,28.5,0.705219112082832
2460000,29.4,0,29.4,0.120616040153083,29.4,0.243404330667247,29.4,0.365058109364919,29.4,0.482066697223521,29.4,0.575967468894582,29.4,0.640693351832284,29.4,0.682487198872813,29.4,0.713620003181395,29.4,0.740187850126723
2520000,30.3,0,30.3,0.122058960892671,30.3,0.246325988055885,30.3,0.369443916378264,30.3,0.489276816599619,30.3,0.590792501448595,30.3,0.663333796397581,30.3,0.709489542819143,30.3,0.742720436103862,30.3,0.769048931429051
2580000,31.2,0,31.2,0.121796618076875,31.2,0.245796018413163,31.2,0.368686108916468,31.2,0.488395043762175,31.2,0.59128655002119,31.2,0.664733396638987,31.2,0.716541591873973,31.2,0.75417906116684,31.2,0.783498657214896
2640000,32.1,0,32.1,0.120381915503927,32.1,0.242928530416347,32.1,0.364440008979975,32.1,0.481688805356656,32.1,0.581428130776125,32.1,0.655371522372695,32.1,0.706544513135914,32.1,0.747897419132834,32.1,0.782647926556231
2700000,33,0,33,0.11748423463666,33,0.237062147379793,33,0.355715458094938,33,0.468342673844883,33,0.561608130284297,33,0.631201816942153,33,0.68510564748988,33,0.730702504715111,33,0.769799009044117
2760000,33.9,0,33.9,0.11349645631801,33.9,0.22899443481537,33.9,0.343677198152409,33.9,0.45067097198808,33.9,0.537061669421922,33.9,0.602275985335764,33.9,0.65974837607869,33.9,0.710490748814536,33.9,0.753893942870653
2820000,34.8,0,34.8,0.108468562672608,34.8,0.218828737331896,34.8,0.328457682582352,34.8,0.42938237030061,34.8,0.509552854899464,34.8,0.574130986200326,34.8,0.633358187482673,34.8,0.688805374834615,34.8,0.737250159026024
2880000,35.7,0,35.7,0.103526736986475,35.7,0.208848780562594,35.7,0.313450311445743,35.7,0.410071408157249,35.7,0.488434519874269,35.7,0.556200609781334,35.7,0.619054349163997,35.7,0.678445610721237,35.7,0.730924808499701
2940000,36.6,0,36.6,0.100175028477803,36.6,0.202093622614496,36.6,0.303481695177663,36.6,0.398641364016131,36.6,0.479492993300115,36.6,0.552330528625101,36.6,0.617729308837349,36.6,0.678365945420584,36.6,0.730874233380777
3000000,37.5,0,37.5,0.0991222657380287,37.5,0.199989260556161,37.5,0.300741241347782,37.5,0.398836072891551,37.5,0.485358846646314,37.5,0.555768056516439,37.5,0.619199188051992,37.5,0.6788449136026,37.5,0.731096043099797
3060000,38.4,0,38.4,0.100502406633197,38.4,0.202760975315668,38.4,0.304645460744828,38.4,0.399428035881101,38.4,0.480442405724398,38.4,0.553057281492906,38.4,0.618197070282656,38.4,0.678794846108393,38.4,0.731106488909781
